kode_deskel,deskel,kategori_iid_rt,rentang_iid_rt,jumlah_kk,persentase_kk,total_kk_desa
64.02.07.2010,senoni,rendah,">0,20-0,40",62,0.134783,460
64.02.07.2010,senoni,sedang,">0,40-0,60",192,0.417391,460
64.02.07.2010,senoni,tinggi,">0,60-0,80",158,0.343478,460
64.02.07.2010,senoni,sangat tinggi,">0,80-1,00",8,0.017391,460
64.02.07.2011,sebulu modern,sangat rendah,"0,00-0,20",111,0.097884,1134
64.02.07.2011,sebulu modern,rendah,">0,20-0,40",218,0.19224,1134
64.02.07.2011,sebulu modern,sedang,">0,40-0,60",591,0.521164,1134
64.02.07.2011,sebulu modern,tinggi,">0,60-0,80",204,0.179894,1134
64.02.07.2011,sebulu modern,sangat tinggi,">0,80-1,00",10,0.008818,1134
64.02.07.2012,sanggulan,sangat rendah,"0,00-0,20",25,0.037994,658
64.02.07.2012,sanggulan,rendah,">0,20-0,40",52,0.079027,658
64.02.07.2012,sanggulan,sedang,">0,40-0,60",349,0.530395,658
64.02.07.2012,sanggulan,tinggi,">0,60-0,80",226,0.343465,658
64.02.07.2012,sanggulan,sangat tinggi,">0,80-1,00",6,0.009119,658
64.02.07.2013,lekaq kidau,sangat rendah,"0,00-0,20",6,0.058824,102
64.02.07.2013,lekaq kidau,rendah,">0,20-0,40",14,0.137255,102
64.02.07.2013,lekaq kidau,sedang,">0,40-0,60",37,0.362745,102
64.02.07.2013,lekaq kidau,tinggi,">0,60-0,80",38,0.372549,102
64.02.07.2013,lekaq kidau,sangat tinggi,">0,80-1,00",7,0.068627,102
64.02.07.2014,mekar jaya,sangat rendah,"0,00-0,20",45,0.05508,817
64.02.07.2014,mekar jaya,rendah,">0,20-0,40",68,0.083231,817
64.02.07.2014,mekar jaya,sedang,">0,40-0,60",421,0.5153,817
64.02.07.2014,mekar jaya,tinggi,">0,60-0,80",271,0.331701,817
64.02.07.2014,mekar jaya,sangat tinggi,">0,80-1,00",12,0.014688,817
64.02.08.2004,loleng,sangat rendah,"0,00-0,20",37,0.054252,682
64.02.08.2004,loleng,rendah,">0,20-0,40",50,0.073314,682
64.02.08.2004,loleng,sedang,">0,40-0,60",364,0.533724,682
64.02.08.2004,loleng,tinggi,">0,60-0,80",224,0.328446,682
64.02.08.2004,loleng,sangat tinggi,">0,80-1,00",7,0.010264,682
64.02.08.2005,kota bangun ulu,sangat rendah,"0,00-0,20",46,0.033528,1372
64.02.08.2005,kota bangun ulu,rendah,">0,20-0,40",50,0.036443,1372
64.02.08.2005,kota bangun ulu,sedang,">0,40-0,60",498,0.362974,1372
64.02.08.2005,kota bangun ulu,tinggi,">0,60-0,80",687,0.500729,1372
64.02.08.2005,kota bangun ulu,sangat tinggi,">0,80-1,00",91,0.066327,1372
64.02.08.2006,kota bangun ilir,sangat rendah,"0,00-0,20",44,0.051948,847
64.02.08.2006,kota bangun ilir,rendah,">0,20-0,40",64,0.075561,847
64.02.08.2006,kota bangun ilir,sedang,">0,40-0,60",310,0.365998,847
64.02.08.2006,kota bangun ilir,tinggi,">0,60-0,80",394,0.465171,847
64.02.08.2006,kota bangun ilir,sangat tinggi,">0,80-1,00",35,0.041322,847
64.02.08.2007,liang,sangat rendah,"0,00-0,20",48,0.062016,774
64.02.08.2007,liang,rendah,">0,20-0,40",54,0.069767,774
64.02.08.2007,liang,sedang,">0,40-0,60",316,0.408269,774
64.02.08.2007,liang,tinggi,">0,60-0,80",343,0.443152,774
64.02.08.2007,liang,sangat tinggi,">0,80-1,00",13,0.016796,774
64.02.08.2008,muhuran,sangat rendah,"0,00-0,20",20,0.106383,188
64.02.08.2008,muhuran,rendah,">0,20-0,40",15,0.079787,188
64.02.08.2008,muhuran,sedang,">0,40-0,60",80,0.425532,188
64.02.08.2008,muhuran,tinggi,">0,60-0,80",72,0.382979,188
64.02.08.2008,muhuran,sangat tinggi,">0,80-1,00",1,0.005319,188
64.02.08.2009,pela,sangat rendah,"0,00-0,20",8,0.054054,148
64.02.08.2009,pela,rendah,">0,20-0,40",16,0.108108,148
64.02.08.2009,pela,sedang,">0,40-0,60",92,0.621622,148
64.02.08.2009,pela,tinggi,">0,60-0,80",32,0.216216,148
64.02.08.2009,pela,sangat tinggi,">0,80-1,00",0,0,148
64.02.08.2017,kedang murung,sangat rendah,"0,00-0,20",40,0.061162,654
64.02.08.2017,kedang murung,rendah,">0,20-0,40",41,0.062691,654
64.02.08.2017,kedang murung,sedang,">0,40-0,60",278,0.425076,654
64.02.08.2017,kedang murung,tinggi,">0,60-0,80",284,0.434251,654
64.02.08.2017,kedang murung,sangat tinggi,">0,80-1,00",11,0.01682,654
64.02.08.2018,kota bangun seberang,sangat rendah,"0,00-0,20",48,0.078303,613
64.02.08.2018,kota bangun seberang,rendah,">0,20-0,40",80,0.130506,613
64.02.08.2018,kota bangun seberang,sedang,">0,40-0,60",267,0.435563,613
64.02.08.2018,kota bangun seberang,tinggi,">0,60-0,80",211,0.344209,613
64.02.08.2018,kota bangun seberang,sangat tinggi,">0,80-1,00",7,0.011419,613
64.02.08.2019,liang ulu,sangat rendah,"0,00-0,20",37,0.059581,621
64.02.08.2019,liang ulu,rendah,">0,20-0,40",29,0.046699,621
64.02.08.2019,liang ulu,sedang,">0,40-0,60",225,0.362319,621
64.02.08.2019,liang ulu,tinggi,">0,60-0,80",313,0.504026,621
64.02.08.2019,liang ulu,sangat tinggi,">0,80-1,00",17,0.027375,621
64.02.08.2020,sebelimbingan,sangat rendah,"0,00-0,20",15,0.084746,177
64.02.08.2020,sebelimbingan,rendah,">0,20-0,40",11,0.062147,177
64.02.08.2020,sebelimbingan,sedang,">0,40-0,60",63,0.355932,177
64.02.08.2020,sebelimbingan,tinggi,">0,60-0,80",84,0.474576,177
64.02.08.2020,sebelimbingan,sangat tinggi,">0,80-1,00",4,0.022599,177
64.02.08.2021,sangkuliman,sangat rendah,"0,00-0,20",15,0.069444,216
64.02.08.2021,sangkuliman,rendah,">0,20-0,40",20,0.092593,216
64.02.08.2021,sangkuliman,sedang,">0,40-0,60",109,0.50463,216
64.02.08.2021,sangkuliman,tinggi,">0,60-0,80",66,0.305556,216
64.02.08.2021,sangkuliman,sangat tinggi,">0,80-1,00",6,0.027778,216
64.02.11.2001,muara kaman ilir,sangat rendah,"0,00-0,20",39,0.055635,701
64.02.11.2001,muara kaman ilir,rendah,">0,20-0,40",82,0.116976,701
64.02.11.2001,muara kaman ilir,sedang,">0,40-0,60",380,0.542083,701
64.02.11.2001,muara kaman ilir,tinggi,">0,60-0,80",195,0.278174,701
64.02.11.2001,muara kaman ilir,sangat tinggi,">0,80-1,00",5,0.007133,701
64.02.11.2002,rantau hempang,sangat rendah,"0,00-0,20",51,0.128463,397
64.02.11.2002,rantau hempang,rendah,">0,20-0,40",40,0.100756,397
64.02.11.2002,rantau hempang,sedang,">0,40-0,60",202,0.508816,397
64.02.11.2002,rantau hempang,tinggi,">0,60-0,80",101,0.254408,397
64.02.11.2002,rantau hempang,sangat tinggi,">0,80-1,00",3,0.007557,397
64.02.11.2003,teratak,sangat rendah,"0,00-0,20",52,0.108559,479
64.02.11.2003,teratak,rendah,">0,20-0,40",58,0.121086,479
64.02.11.2003,teratak,sedang,">0,40-0,60",230,0.480167,479
64.02.11.2003,teratak,tinggi,">0,60-0,80",138,0.2881,479
64.02.11.2003,teratak,sangat tinggi,">0,80-1,00",1,0.002088,479
64.02.11.2004,benua puhun,sangat rendah,"0,00-0,20",52,0.06326,822
64.02.11.2004,benua puhun,rendah,">0,20-0,40",34,0.041363,822
64.02.11.2004,benua puhun,sedang,">0,40-0,60",331,0.402676,822
64.02.11.2004,benua puhun,tinggi,">0,60-0,80",390,0.474453,822
64.02.11.2004,benua puhun,sangat tinggi,">0,80-1,00",15,0.018248,822
64.02.11.2005,muara kaman ulu,sangat rendah,"0,00-0,20",43,0.044838,959
64.02.11.2005,muara kaman ulu,rendah,">0,20-0,40",110,0.114703,959
64.02.11.2005,muara kaman ulu,sedang,">0,40-0,60",548,0.571429,959
64.02.11.2005,muara kaman ulu,tinggi,">0,60-0,80",249,0.259645,959
64.02.11.2005,muara kaman ulu,sangat tinggi,">0,80-1,00",9,0.009385,959
64.02.11.2006,sabintulung,sangat rendah,"0,00-0,20",69,0.080513,857
64.02.11.2006,sabintulung,rendah,">0,20-0,40",105,0.12252,857
64.02.11.2006,sabintulung,sedang,">0,40-0,60",459,0.535589,857
64.02.11.2006,sabintulung,tinggi,">0,60-0,80",220,0.256709,857
64.02.11.2006,sabintulung,sangat tinggi,">0,80-1,00",4,0.004667,857
64.02.11.2007,muara siran,sangat rendah,"0,00-0,20",49,0.12069,406
64.02.11.2007,muara siran,rendah,">0,20-0,40",54,0.133005,406
64.02.11.2007,muara siran,sedang,">0,40-0,60",173,0.426108,406
64.02.11.2007,muara siran,tinggi,">0,60-0,80",124,0.305419,406
64.02.11.2007,muara siran,sangat tinggi,">0,80-1,00",6,0.014778,406
64.02.11.2008,tunjungan,sangat rendah,"0,00-0,20",27,0.089404,302
64.02.11.2008,tunjungan,rendah,">0,20-0,40",31,0.102649,302
64.02.11.2008,tunjungan,sedang,">0,40-0,60",193,0.639073,302
64.02.11.2008,tunjungan,tinggi,">0,60-0,80",49,0.162252,302
64.02.11.2008,tunjungan,sangat tinggi,">0,80-1,00",2,0.006623,302
64.02.11.2009,sedulang,sangat rendah,"0,00-0,20",31,0.072941,425
64.02.11.2009,sedulang,rendah,">0,20-0,40",44,0.103529,425
64.02.11.2009,sedulang,sedang,">0,40-0,60",221,0.52,425
64.02.11.2009,sedulang,tinggi,">0,60-0,80",125,0.294118,425
64.02.11.2009,sedulang,sangat tinggi,">0,80-1,00",4,0.009412,425
64.02.11.2010,menamang kiri,sangat rendah,"0,00-0,20",27,0.084375,320
64.02.11.2010,menamang kiri,rendah,">0,20-0,40",47,0.146875,320
64.02.11.2010,menamang kiri,sedang,">0,40-0,60",175,0.546875,320
64.02.11.2010,menamang kiri,tinggi,">0,60-0,80",70,0.21875,320
64.02.11.2010,menamang kiri,sangat tinggi,">0,80-1,00",1,0.003125,320
64.02.11.2011,menamang kanan,sangat rendah,"0,00-0,20",12,0.04,300
64.02.11.2011,menamang kanan,rendah,">0,20-0,40",12,0.04,300
64.02.11.2011,menamang kanan,sedang,">0,40-0,60",159,0.53,300
64.02.11.2011,menamang kanan,tinggi,">0,60-0,80",115,0.383333,300
64.02.11.2011,menamang kanan,sangat tinggi,">0,80-1,00",2,0.006667,300
64.02.11.2012,sido mukti,sangat rendah,"0,00-0,20",134,0.149888,894
64.02.11.2012,sido mukti,rendah,">0,20-0,40",88,0.098434,894
64.02.11.2012,sido mukti,sedang,">0,40-0,60",322,0.360179,894
64.02.11.2012,sido mukti,tinggi,">0,60-0,80",323,0.361298,894
64.02.11.2012,sido mukti,sangat tinggi,">0,80-1,00",27,0.030201,894
64.02.11.2013,panca jaya,sangat rendah,"0,00-0,20",111,0.118844,934
64.02.11.2013,panca jaya,rendah,">0,20-0,40",143,0.153105,934
64.02.11.2013,panca jaya,sedang,">0,40-0,60",440,0.471092,934
64.02.11.2013,panca jaya,tinggi,">0,60-0,80",226,0.24197,934
64.02.11.2013,panca jaya,sangat tinggi,">0,80-1,00",14,0.014989,934
64.02.11.2014,bunga jadi,sangat rendah,"0,00-0,20",82,0.078998,1038
64.02.11.2014,bunga jadi,rendah,">0,20-0,40",66,0.063584,1038
64.02.11.2014,bunga jadi,sedang,">0,40-0,60",434,0.418112,1038
64.02.11.2014,bunga jadi,tinggi,">0,60-0,80",432,0.416185,1038
64.02.11.2014,bunga jadi,sangat tinggi,">0,80-1,00",24,0.023121,1038
64.02.11.2015,kupang baru,sangat rendah,"0,00-0,20",28,0.153005,183
64.02.11.2015,kupang baru,rendah,">0,20-0,40",28,0.153005,183
64.02.11.2015,kupang baru,sedang,">0,40-0,60",73,0.398907,183
64.02.11.2015,kupang baru,tinggi,">0,60-0,80",51,0.278689,183
64.02.11.2015,kupang baru,sangat tinggi,">0,80-1,00",3,0.016393,183
64.02.11.2016,lebaho ulaq,sangat rendah,"0,00-0,20",6,0.01662,361
64.02.11.2016,lebaho ulaq,rendah,">0,20-0,40",24,0.066482,361
64.02.11.2016,lebaho ulaq,sedang,">0,40-0,60",198,0.548476,361
64.02.11.2016,lebaho ulaq,tinggi,">0,60-0,80",125,0.34626,361
64.02.11.2016,lebaho ulaq,sangat tinggi,">0,80-1,00",8,0.022161,361
64.02.11.2017,bukit jering,sangat rendah,"0,00-0,20",22,0.076125,289
64.02.11.2017,bukit jering,rendah,">0,20-0,40",25,0.086505,289
64.02.11.2017,bukit jering,sedang,">0,40-0,60",189,0.653979,289
64.02.11.2017,bukit jering,tinggi,">0,60-0,80",52,0.179931,289
64.02.11.2017,bukit jering,sangat tinggi,">0,80-1,00",1,0.00346,289
64.02.11.2018,liang buaya,sangat rendah,"0,00-0,20",41,0.153558,267
64.02.11.2018,liang buaya,rendah,">0,20-0,40",36,0.134831,267
64.02.11.2018,liang buaya,sedang,">0,40-0,60",102,0.382022,267
64.02.11.2018,liang buaya,tinggi,">0,60-0,80",80,0.299625,267
64.02.11.2018,liang buaya,sangat tinggi,">0,80-1,00",8,0.029963,267
64.02.11.2019,puan cepak,sangat rendah,"0,00-0,20",13,0.058559,222
64.02.11.2019,puan cepak,rendah,">0,20-0,40",26,0.117117,222
64.02.11.2019,puan cepak,sedang,">0,40-0,60",132,0.594595,222
64.02.11.2019,puan cepak,tinggi,">0,60-0,80",51,0.22973,222
64.02.11.2019,puan cepak,sangat tinggi,">0,80-1,00",0,0,222
64.02.11.2020,cipari makmur,sangat rendah,"0,00-0,20",36,0.093264,386
64.02.11.2020,cipari makmur,rendah,">0,20-0,40",31,0.080311,386
64.02.11.2020,cipari makmur,sedang,">0,40-0,60",195,0.505181,386
64.02.11.2020,cipari makmur,tinggi,">0,60-0,80",117,0.303109,386
64.02.11.2020,cipari makmur,sangat tinggi,">0,80-1,00",7,0.018135,386
64.02.15.1001,jawa,sangat rendah,"0,00-0,20",87,0.078237,1112
64.02.15.1001,jawa,rendah,">0,20-0,40",58,0.052158,1112
64.02.15.1001,jawa,sedang,">0,40-0,60",422,0.379496,1112
64.02.15.1001,jawa,tinggi,">0,60-0,80",515,0.463129,1112
64.02.15.1001,jawa,sangat tinggi,">0,80-1,00",30,0.026978,1112
64.02.15.1002,pendingin,sangat rendah,"0,00-0,20",62,0.060253,1029
64.02.15.1002,pendingin,rendah,">0,20-0,40",81,0.078717,1029
64.02.15.1002,pendingin,sedang,">0,40-0,60",423,0.411079,1029
64.02.15.1002,pendingin,tinggi,">0,60-0,80",445,0.432459,1029
64.02.15.1002,pendingin,sangat tinggi,">0,80-1,00",18,0.017493,1029
64.02.15.1003,sanga-sanga dalam,sangat rendah,"0,00-0,20",96,0.052316,1835
64.02.15.1003,sanga-sanga dalam,rendah,">0,20-0,40",117,0.06376,1835
64.02.15.1003,sanga-sanga dalam,sedang,">0,40-0,60",700,0.381471,1835
64.02.15.1003,sanga-sanga dalam,tinggi,">0,60-0,80",847,0.46158,1835
64.02.15.1003,sanga-sanga dalam,sangat tinggi,">0,80-1,00",75,0.040872,1835
64.02.15.1004,sarijaya,sangat rendah,"0,00-0,20",44,0.097561,451
64.02.15.1004,sarijaya,rendah,">0,20-0,40",25,0.055432,451
64.02.15.1004,sarijaya,sedang,">0,40-0,60",139,0.308204,451
64.02.15.1004,sarijaya,tinggi,">0,60-0,80",224,0.496674,451
64.02.15.1004,sarijaya,sangat tinggi,">0,80-1,00",19,0.042129,451
64.02.15.1005,sanga-sanga muara,sangat rendah,"0,00-0,20",61,0.068694,888
64.02.15.1005,sanga-sanga muara,rendah,">0,20-0,40",55,0.061937,888
64.02.15.1005,sanga-sanga muara,sedang,">0,40-0,60",442,0.497748,888
64.02.15.1005,sanga-sanga muara,tinggi,">0,60-0,80",312,0.351351,888
64.02.15.1005,sanga-sanga muara,sangat tinggi,">0,80-1,00",18,0.02027,888
64.02.16.2013,teluk dalam,sangat rendah,"0,00-0,20",33,0.068323,483
64.02.16.2013,teluk dalam,rendah,">0,20-0,40",34,0.070393,483
64.02.16.2013,teluk dalam,sedang,">0,40-0,60",216,0.447205,483
64.02.16.2013,teluk dalam,tinggi,">0,60-0,80",190,0.393375,483
64.02.16.2013,teluk dalam,sangat tinggi,">0,80-1,00",10,0.020704,483
64.02.16.2014,loa lepu,sangat rendah,"0,00-0,20",9,0.018519,486
64.02.16.2014,loa lepu,rendah,">0,20-0,40",34,0.069959,486
64.02.16.2014,loa lepu,sedang,">0,40-0,60",190,0.390947,486
64.02.16.2014,loa lepu,tinggi,">0,60-0,80",233,0.479424,486
64.02.16.2014,loa lepu,sangat tinggi,">0,80-1,00",20,0.041152,486
64.02.19.2001,kedang ipil,sangat rendah,"0,00-0,20",46,0.111922,411
64.02.19.2001,kedang ipil,rendah,">0,20-0,40",53,0.128954,411
64.02.19.2001,kedang ipil,sedang,">0,40-0,60",180,0.437956,411
64.02.19.2001,kedang ipil,tinggi,">0,60-0,80",129,0.313869,411
64.02.19.2001,kedang ipil,sangat tinggi,">0,80-1,00",3,0.007299,411
64.02.19.2002,sedulang,sangat rendah,"0,00-0,20",12,0.130435,92
64.02.19.2002,sedulang,rendah,">0,20-0,40",4,0.043478,92
64.02.19.2002,sedulang,sedang,">0,40-0,60",30,0.326087,92
64.02.19.2002,sedulang,tinggi,">0,60-0,80",46,0.5,92
64.02.19.2002,sedulang,sangat tinggi,">0,80-1,00",0,0,92
64.02.19.2003,benua baru,sangat rendah,"0,00-0,20",10,0.091743,109
64.02.19.2003,benua baru,rendah,">0,20-0,40",3,0.027523,109
64.02.19.2003,benua baru,sedang,">0,40-0,60",25,0.229358,109
64.02.19.2003,benua baru,tinggi,">0,60-0,80",66,0.605505,109
64.02.19.2003,benua baru,sangat tinggi,">0,80-1,00",5,0.045872,109
64.02.19.2004,kota bangun i,sangat rendah,"0,00-0,20",57,0.154472,369
64.02.19.2004,kota bangun i,rendah,">0,20-0,40",35,0.094851,369
64.02.19.2004,kota bangun i,sedang,">0,40-0,60",150,0.406504,369
64.02.19.2004,kota bangun i,tinggi,">0,60-0,80",122,0.330623,369
64.02.19.2004,kota bangun i,sangat tinggi,">0,80-1,00",5,0.01355,369
64.02.19.2005,kota bangun ii,sangat rendah,"0,00-0,20",78,0.097136,803
64.02.19.2005,kota bangun ii,rendah,">0,20-0,40",96,0.119552,803
64.02.19.2005,kota bangun ii,sedang,">0,40-0,60",402,0.500623,803
64.02.19.2005,kota bangun ii,tinggi,">0,60-0,80",214,0.266501,803
64.02.19.2005,kota bangun ii,sangat tinggi,">0,80-1,00",13,0.016189,803
64.02.19.2006,kota bangun iii,sangat rendah,"0,00-0,20",101,0.118129,855
64.02.19.2006,kota bangun iii,rendah,">0,20-0,40",91,0.106433,855
64.02.19.2006,kota bangun iii,sedang,">0,40-0,60",368,0.430409,855
64.02.19.2006,kota bangun iii,tinggi,">0,60-0,80",271,0.316959,855
64.02.19.2006,kota bangun iii,sangat tinggi,">0,80-1,00",24,0.02807,855
64.02.19.2007,sumber sari,sangat rendah,"0,00-0,20",41,0.108466,378
64.02.19.2007,sumber sari,rendah,">0,20-0,40",33,0.087302,378
64.02.19.2007,sumber sari,sedang,">0,40-0,60",173,0.457672,378
64.02.19.2007,sumber sari,tinggi,">0,60-0,80",126,0.333333,378
64.02.19.2007,sumber sari,sangat tinggi,">0,80-1,00",5,0.013228,378
64.02.19.2008,sari nadi,sangat rendah,"0,00-0,20",65,0.132383,491
64.02.19.2008,sari nadi,rendah,">0,20-0,40",42,0.08554,491
64.02.19.2008,sari nadi,sedang,">0,40-0,60",205,0.417515,491
64.02.19.2008,sari nadi,tinggi,">0,60-0,80",169,0.344196,491
64.02.19.2008,sari nadi,sangat tinggi,">0,80-1,00",10,0.020367,491
64.02.19.2009,suka bumi,sangat rendah,"0,00-0,20",27,0.069231,390
64.02.19.2009,suka bumi,rendah,">0,20-0,40",35,0.089744,390
64.02.19.2009,suka bumi,sedang,">0,40-0,60",168,0.430769,390
64.02.19.2009,suka bumi,tinggi,">0,60-0,80",156,0.4,390
64.02.19.2009,suka bumi,sangat tinggi,">0,80-1,00",4,0.010256,390
64.02.19.2010,wonosari,sangat rendah,"0,00-0,20",12,0.101695,118
64.02.19.2010,wonosari,rendah,">0,20-0,40",11,0.09322,118
64.02.19.2010,wonosari,sedang,">0,40-0,60",54,0.457627,118
64.02.19.2010,wonosari,tinggi,">0,60-0,80",41,0.347458,118
64.02.19.2010,wonosari,sangat tinggi,">0,80-1,00",0,0,118
